,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10
309,12,12,3,12,100,0.25,0.25,0.75,0.5,0.0
310,2,2,2,2,2,1.0,1.0,1.0,0.75,1.0
311,12,100,6,2,100,0.25,0.5,0.5,1.0,0.25
312,12,12,100,6,100,0.25,0.25,0.25,0.75,0.25
313,2,100,2,2,100,0.75,1.0,1.0,1.0,1.0
314,3,2,2,2,100,0.25,0.5,0.5,0.5,0.5
315,2,12,2,6,12,1.0,0.75,0.75,0.5,0.5
316,100,2,6,2,12,0.25,0.75,0.25,1.0,0.5
317,100,3,2,2,12,0.0,0.5,0.5,0.75,0.25
318,6,3,2,2,100,0.5,0.5,0.75,0.75,0.25
319,100,100,6,2,100,0.0,0.0,0.5,1.0,0.0
320,2,6,6,2,12,0.75,1.0,0.5,0.5,0.5
321,3,3,12,6,6,0.5,0.5,0.25,0.25,0.25
322,12,6,2,12,100,0.25,0.5,0.5,0.5,0.5
323,2,2,2,2,100,1.0,1.0,1.0,1.0,0.25
324,2,2,100,2,3,0.25,0.5,0.25,1.0,0.75
325,100,12,2,2,12,0.0,0.25,0.25,0.5,0.25
326,2,2,2,2,100,0.5,0.75,0.75,1.0,0.25
327,2,2,2,2,12,0.5,0.5,0.5,0.5,0.5
328,100,6,3,2,100,0.0,0.5,0.5,0.75,0.5
329,6,6,6,6,12,0.5,0.75,0.5,0.75,0.75
330,6,100,2,2,100,0.5,0.5,0.75,1.0,0.5
331,100,6,6,2,12,0.0,1.0,0.5,1.0,1.0
332,3,6,12,3,100,0.75,0.5,0.5,0.75,0.0
333,2,3,2,2,6,1.0,0.75,1.0,1.0,0.75
334,2,2,2,2,12,1.0,1.0,1.0,1.0,1.0
335,2,100,2,2,2,0.75,0.75,1.0,1.0,1.0
336,100,12,12,6,100,0.0,0.25,0.25,0.75,0.5
337,3,2,6,2,100,0.25,0.75,0.25,1.0,0.25
338,100,2,2,2,2,0.5,0.75,0.75,0.75,0.0
339,3,6,2,12,2,0.0,0.75,1.0,0.5,0.25
340,2,2,2,2,2,0.5,0.75,0.5,1.0,1.0
341,6,3,3,2,100,0.25,0.5,0.5,1.0,0.5
342,2,2,2,2,2,0.75,0.75,0.75,0.75,0.75
343,2,3,2,2,6,1.0,0.5,1.0,1.0,0.75
344,100,2,100,3,100,0.0,0.25,0.0,0.25,0.0
345,12,100,12,100,100,0.25,0.25,0.5,0.25,0.25
346,2,2,2,2,100,1.0,1.0,0.5,1.0,1.0
347,2,2,2,2,2,0.5,1.0,1.0,1.0,1.0
348,6,100,12,12,12,0.5,0.0,0.5,0.5,0.75
349,100,2,2,2,100,0.0,1.0,1.0,1.0,0.0
350,6,6,6,3,6,0.5,0.5,0.75,0.5,0.75
351,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
352,2,2,2,2,3,1.0,0.75,1.0,1.0,1.0
353,2,2,2,2,100,1.0,1.0,1.0,1.0,1.0
354,2,2,2,2,100,1.0,1.0,1.0,1.0,1.0
355,12,12,12,12,100,0.5,0.5,0.5,0.5,0.0
356,100,12,2,2,2,0.0,0.5,0.0,0.75,0.75
357,100,100,12,2,100,0.0,0.75,0.75,1.0,0.25
358,3,3,3,3,3,0.25,0.5,0.5,0.5,0.5
359,2,2,2,2,12,0.75,1.0,1.0,1.0,0.75
360,6,12,6,6,6,0.25,0.25,0.75,0.5,0.75
361,100,100,2,2,100,0.0,0.0,0.5,0.75,0.0
362,100,100,100,12,100,0.0,0.0,0.0,0.75,0.5
363,2,2,2,2,2,0.5,1.0,0.75,1.0,1.0
364,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
365,100,100,2,3,12,0.0,0.5,0.5,0.75,0.5
366,6,6,6,12,12,1.0,0.75,0.75,0.75,0.75
367,100,100,2,2,100,0.0,0.75,0.75,0.75,0.75
368,6,2,2,2,100,0.5,1.0,1.0,1.0,0.75
369,2,3,2,3,2,0.75,0.5,0.5,0.75,0.75
370,12,12,2,3,6,0.75,0.75,0.75,0.75,0.75
371,100,100,6,2,100,0.0,0.5,0.0,1.0,0.25
